event_title,event_id,event_type,event_start,event_end,exp_attendance,exp_participants,event_host,event_url,event_address,lat,long
Port of San Diego Holiday Bowl Parade,51283,PARADES,2018-12-31 9:50,2018-12-31 13:00,60000,5000,Holiday Bowl,www.holidaybowl.com,Harbor Dr & Cedar St.,32.7293076,-117.1997407
Holiday Bowl 5K,51284,ATHLETIC,2018-12-31 8:00,2018-12-31 11:00,1000,100,KOZ Events,www.kozenterprises.com,Harbor Dr.& Ash St,,
Sunday Artisan Market,50588,FARMERS,2018-12-30 10:00,2018-12-30 15:00,3000,20,Gaslamp Quarter Association,www.gaslamp.org,5th Avenue & Market Street,32.7313918,-117.1602848
2018 Hillcrest Farmers' Market (Sundays),49953,FARMERS,2018-12-30 9:00,2018-12-30 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485423,-117.149901
Old Town Artisan's Market,50424,FARMERS,2018-12-30 9:00,2018-12-30 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
Old Town Artisan's Market,50423,FARMERS,2018-12-29 9:00,2018-12-29 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
City Heights Farmer's Market (Every Saturday),50130,FARMERS,2018-12-29 9:00,2018-12-29 13:00,500,100,San Diego County Farm Bureau,www.sdfarmbureau.org,Wightman & 43rd Streets,32.7477532,-117.0999832
The Mercato Little Italy's Farmers' Market,50028,FARMERS,2018-12-29 8:00,2018-12-29 14:00,1500,400,Little Italy Association of San Diego,www.littleitalymercato.com,Cedar & Front Streets,32.7219778,-117.1615697
Mission Valley Farmers' Market at Civita,51305,FARMERS,2018-12-28 15:00,2018-12-28 19:00,1000,40,San Diego County Farm Bureau,,Civita Boulevard & Russell Parkway,32.7773307,-117.1484572
Holiday Bowl 5K,49893,ATHLETIC,2018-12-28 9:45,2018-12-28 12:00,1000,100,KOZ Events,www.kozenterprises.com,Harbor Drive & Ash Streeet,32.7093836,-117.1628654
North Park Thursday Market,50078,FARMERS,2018-12-27 15:00,2018-12-27 19:30,900,70,North Park Main Street,www.northparkmarket.com,North Park Way & Granada Avenue,32.7474103,-117.1266214
Ocean Beach Certified Farmer's Market (Wednesdays),50212,FARMERS,2018-12-26 16:00,2018-12-26 20:00,1200,60,Ocean Beach Merchant's Association,www.oceanbeachsandiego.com,Newport Avenue & Bacon Street,32.7431327,-117.2449981
